catogary,column_x,late_count,column_y,default_count
A,grade,2.63,grade,11.11
A1,sub_grade,2.14,sub_grade,14.49
A2,sub_grade,2.56,sub_grade,16.89
A3,sub_grade,1.66,sub_grade,12.28
A4,sub_grade,1.32,sub_grade,11.76
A5,sub_grade,1.39,sub_grade,9.92
B,grade,1.81,grade,9.64
B1,sub_grade,2.02,sub_grade,9.53
B2,sub_grade,1.71,sub_grade,9.74
B3,sub_grade,1.63,sub_grade,9.33
B4,sub_grade,1.85,sub_grade,9.94
B5,sub_grade,1.82,sub_grade,9.42
C,grade,1.57,grade,8.92
C1,sub_grade,1.66,sub_grade,10.07
C2,sub_grade,1.69,sub_grade,8.7
C3,sub_grade,1.67,sub_grade,8.94
C4,sub_grade,1.68,sub_grade,9.79
C5,sub_grade,1.64,sub_grade,9.08
D,grade,2.22,grade,11.74
D1,sub_grade,1.67,sub_grade,10.04
D2,sub_grade,1.65,sub_grade,9.52
D3,sub_grade,2.35,sub_grade,9.04
D4,sub_grade,2.29,sub_grade,12.1
D5,sub_grade,1.84,sub_grade,11.35
E,grade,1.47,grade,8.51
E1,sub_grade,1.96,sub_grade,10.49
E2,sub_grade,1.83,sub_grade,10.25
E3,sub_grade,1.56,sub_grade,11.21
E4,sub_grade,1.82,sub_grade,13.06
E5,sub_grade,1.74,sub_grade,10.55
F,grade,1.1,grade,21.23
F1,sub_grade,1.63,sub_grade,11.32
F2,sub_grade,1.56,sub_grade,12.2
F3,sub_grade,1.51,sub_grade,13.77
F4,sub_grade,2.21,sub_grade,16.21
F5,sub_grade,1.35,sub_grade,19.01
G,grade,3.65,grade,19.53
G1,sub_grade,1.9,sub_grade,15.51
G2,sub_grade,1.37,sub_grade,17.65
G3,sub_grade,2.9,sub_grade,16.67
G4,sub_grade,2.5,sub_grade,14.1
G5,sub_grade,3.17,sub_grade,11.11
MORTGAGE,home_ownership,1.82,home_ownership,10.45
NONE,home_ownership,0.0,home_ownership,0.0
OTHER,home_ownership,0.0,home_ownership,14.52
OWN,home_ownership,1.97,home_ownership,10.9
RENT,home_ownership,1.66,home_ownership,9.8
car,purpose,0.95,purpose,8.77
credit_card,purpose,1.66,purpose,7.84
debt_consolidation,purpose,2.06,purpose,10.27
educational,purpose,0.0,purpose,14.14
home_improvement,purpose,1.58,purpose,15.57
house,purpose,0.89,purpose,11.38
major_purchase,purpose,0.79,purpose,13.26
medical,purpose,0.79,purpose,12.6
moving,purpose,0.97,purpose,11.72
other,purpose,1.43,purpose,13.04
renewable_energy,purpose,0.31,purpose,15.38
small_business,purpose,0.79,purpose,9.26
vacation,purpose,0.9,purpose,11.25
wedding,purpose,0.52,purpose,8.67
